Number,Journal tittle,Platform,Country,Publishers Name,Language,Thematic area,African Index Medicus,Medline (Medicine and Health Journals),Indexed on Google Scholar,Impact Factor,Scopus,H-Index,Eigenfactor,Eigenfactor metrix,Source Normalized Impact per Paper (SNIP),SNIP metrix,Open Access Journal,Journal listed in the Directory of Open Access (DOAJ),Present on International Standard Serial Number (ISSN) portal,The publisher is a member of Committee on publication Ethics (COPE),Online publisher based in Africa,Hosted on INASP'S Journal online,Column1
287,African Safety Promotion: A Journal of Injury and Violence Prevention,African Journal Online (AJOL),South Africa, University of South Africa (UNISA),English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,0,0,1,1,
288,African Zoology,African Journal Online (AJOL),South Africa,Zoological Society of Southern Africa,English,Science and Technology,0,,1,12,1,32,1,<0.1,1,0.56,0,0,1,1,0,1,
289,Continuing Medical Education,African Journal Online (AJOL),South Africa,,English,Medicine and Health,1,1,1,3,0,,0,,0,,1,0,1,0,1,1,
290,Critical Arts,African Journal Online (AJOL),South Africa,Routledge,English,Social Sciences and Humanities,0,,1,13,1,20,1,<0.1,1,0.44,0,0,1,1,0,1,
291,Critical Studies in Teaching and Learning,African Journal Online (AJOL),South Africa,,English,Social Sciences and Humanities,0,,1,10,1,6,0,,1,0.75,1,1,1,0,1,1,
292,Current Writing: Text and Reception in Southern Africa,African Journal Online (AJOL),South Africa,Taylor & Francis Group,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
293,English in Africa,African Journal Online (AJOL),South Africa,"Institute for the Study of the Englishes of Africa (ISEA), based at Rhodes University in Makhanda (formerly Grahamstown).",English,Social Sciences and Humanities,0,,1,7,0,,0,,0,,0,0,1,0,1,1,
294,Ergonomics SA,African Journal Online (AJOL),South Africa,Ergonomics Society of South Africa,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
295,ESARBICA Journal: Journal of the Eastern and Southern Africa Regional Branch of the International Council on Archives,African Journal Online (AJOL),South Africa,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
296,Health SA Gesondheid,African Journal Online (AJOL),South Africa,AOSIS,English,Medicine and Health,1,1,1,18,1,17,0,,1,0.49,1,1,1,1,1,1,
297,HTS Teologiese Studies / Theological Studies,African Journal Online (AJOL),South Africa,AOSIS (Pty) Ltd,English,Social Sciences and Humanities,0,,0,,1,20,0,,1,0.69,1,1,1,1,1,1,
298,Indilinga: African Journal of Indigenous Knowledge Systems,African Journal Online (AJOL),South Africa,UZ Foundation,English,Social Sciences and Humanities,0,,1,,0,,0,,0,,0,0,1,0,0,1,
299,Indo-Pacific Journal of Phenomenology,African Journal Online (AJOL),South Africa,National Inquiry Services Centre (NISC) (Pty) Ltd.,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,1,0,1,
300,Inkanyiso: Journal of Humanities and Social Sciences,African Journal Online (AJOL),South Africa,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
301,Innvation,African Journal Online (AJOL),South Africa,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
302,International Journal of African Higher Education,African Journal Online (AJOL),South Africa,"International Network for Higher Education in Africa based at the University of Kwazulu-Natal in cooperation with the Association of African Universities (Ghana) and the Center for international Higher Education, Boston College.",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
303,International Journal of Emotional Psychology and Sport Ethics,African Journal Online (AJOL),South Africa,,English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,0,0,1,1,
304,Italian Studies in Southern Africa/Studi d'Italianistica nell'Africa Australe,African Journal Online (AJOL),South Africa,Association of professional italianists south africa,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,0,0,1,1,
305,Journal for Islamic Studies,African Journal Online (AJOL),South Africa,University of South Africa (Unisa Press).,English,Social Sciences and Humanities,0,,1,18,0,,0,,0,,0,0,1,0,1,1,
306,Journal for Juridical Science,African Journal Online (AJOL),South Africa, University of the Free State,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
307,Journal for Language Teaching,African Journal Online (AJOL),South Africa,South African Association for Language Teaching,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
308,Journal for the Study of Religion,African Journal Online (AJOL),South Africa,Association for the Study of Religion in Southern Africa,English,Social Sciences and Humanities,0,,0,,0,,0,,1,0.64,0,0,1,0,1,1,
309,Journal of Child and Adolescent Mental Health,African Journal Online (AJOL),South Africa, NISC (Pty) Ltd,English,Medicine and Health,1,1,0,,1,20,0,,0,,0,0,1,0,1,1,
310,Journal of Consumer Sciences,African Journal Online (AJOL),South Africa,South African Association of Family Ecology and Consumer Sciences (SAAFECS).,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,0,0,1,
311,"Journal of Endocrinology, Metabolism and Diabetes of South Africa",African Journal Online (AJOL),South Africa,Medpharm Publications,English,Medicine and Health,1,1,0,,1,14,0,,0,,1,1,1,0,1,1,
312,Journal of Psychology in Africa,African Journal Online (AJOL),South Africa,Taylor & Francis Group (UK) ,English,Medicine and Health,0,1,1,25,1,24,1,<0.1,1,0.48,0,0,1,1,0,1,
313,Journal of Student Affairs in Africa,African Journal Online (AJOL),South Africa,African Minds Trust,English,Social Sciences and Humanities,0,,1,13,0,,0,,0,,1,1,1,0,1,1,
314,Journal of the Musical Arts in Africa,African Journal Online (AJOL),South Africa,NISC (Pty) Ltd in association with the South African College of Music at the University of Cape Town,English,Social Sciences and Humanities,0,,0,,1,6,0,,0,,0,0,1,0,1,1,
315,Journal of the Pan African Thoracic Society,African Journal Online (AJOL),South Africa,Scientific Scholar LLC,English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
316,Journal of the South African Society of Archivists,African Journal Online (AJOL),South Africa, South African Society of Archivists.,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
317,"Law, Democracy & Development",African Journal Online (AJOL),South Africa,Faculty of Law at the University of the Western Cape,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
318,Lexikos,African Journal Online (AJOL),South Africa,Bureau of the WAT (Republic of South Africa),English,Social Sciences and Humanities,0,,1,10,1,18,1,<0.1,1,1.09,1,1,1,0,1,1,
319,Metamorphosis,African Journal Online (AJOL),South Africa,W. W. Norton & Company,English,Social Sciences and Humanities,0,,1,3,0,,0,,0,,1,0,1,0,1,1,
320,New Agenda: South African Journal of Social and Economic Policy,African Journal Online (AJOL),South Africa,Institute for African Alternatives (IFAA),English,Social Sciences and Humanities,0,,1,7,0,,0,,0,,0,0,0,0,1,1,
321,Obstetrics and Gynaecology Forum,African Journal Online (AJOL),South Africa,In House Publications,English,Medicine and Health,1,1,1,4,1,4,0,,0,,0,0,1,0,0,1,
322,ORiON,African Journal Online (AJOL),South Africa,Orion Publishing Group Ltd,English,Social Sciences and Humanities,0,,0,,0,,0,,1,0,1,1,1,0,1,1,
323,Ostrich: Journal of African Ornithology,African Journal Online (AJOL),South Africa,NISC in association with BirdLife South Africa,English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,1,1,0,1,
324,Perspectives in Education,African Journal Online (AJOL),South Africa,University of Pretoria,English,Social Sciences and Humanities,0,,1,2,1,24,0,,1,0.35,1,1,1,0,0,1,
325,Philosophical Papers,African Journal Online (AJOL),South Africa,Routledge (Taylor & Francis),English,Social Sciences and Humanities,0,,0,,1,21,0,,0,,0,0,0,0,0,1,
326,Potchefstroom Electronic Law Journal/Potchefstroomse Elektroniese Regsblad,African Journal Online (AJOL),South Africa,"Faculty of Law, North-West University",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
327,Quaestiones Mathematicae,African Journal Online (AJOL),South Africa,Taylor & Francis,English,Social Sciences and Humanities,0,,1,20,1,28,1,<0.1,1,1.1,0,0,1,1,0,1,
328,Research in Hospitality Management,African Journal Online (AJOL),South Africa,NISC on behalf of NHL Stenden University of Applied Sciences,English,Social Sciences and Humanities,0,,1,14,0,,0,,0,,1,0,1,1,0,1,
329,SA Journal of Radiology,African Journal Online (AJOL),South Africa,Radiological Society of South Africa ,English,Medicine and Health,0,1,1,12,0,,0,,0,,1,1,1,1,1,1,
330,SAHARA-J: Journal of Social Aspects of HIV/AIDS,African Journal Online (AJOL),South Africa,aylor & Francis on behalf of SAHARA,English,Medicine and Health,1,1,0,,0,,0,,0,,1,1,1,1,0,1,
331,Scientia Militaria: South African Journal of Military Studies,African Journal Online (AJOL),South Africa,"Faculty of Military Science of Stellenbosch University,",English,Social Sciences and Humanities,0,,1,7,0,,0,,0,,1,1,1,0,1,1,
332,Shakespeare in Southern Africa,African Journal Online (AJOL),South Africa,Shakespeare Society of Southern Africa,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
333,South African Actuarial Journal,African Journal Online (AJOL),South Africa,Actuarial Society of South Africa (ASSA),English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
334,South African Crime Quarterly,African Journal Online (AJOL),South Africa,"Governance, Crime and Justice Division at the ISS",English,Social Sciences and Humanities,0,,1,,0,,0,,0,,1,1,0,0,1,1,
335,South African Family Practice,African Journal Online (AJOL),South Africa,Medpharm Publications,English,Social Sciences and Humanities,1,,1,2,1,22,0,,1,0.36,1,1,1,1,1,1,
336,South African Gastroenterology Review,African Journal Online (AJOL),South Africa,The Netherlands Press,English,Medicine and Health,1,1,1,3,1,3,0,,0,,0,0,1,0,1,1,
337,"South African Journal for Research in Sport, Physical Education and Recreation",African Journal Online (AJOL),South Africa,"Southern African Alliance for Sport Science, Physical Education and Recreation. ",English,Social Sciences and Humanities,0,,1,10,1,18,0,,1,0.12,0,0,1,0,1,1,
338,South African Journal of African Languages,African Journal Online (AJOL),South Africa, Taylor & Francis Group,English,Social Sciences and Humanities,0,,1,7,1,11,0,,1,0.55,0,0,1,1,0,1,
339,South African Journal of Agricultural Extension,African Journal Online (AJOL),South Africa, South African Society for Agricultural Extension (SASAE),English,Agriculture,0,,1,12,0,,0,,0,,1,1,1,0,1,1,
340,South African Journal of Animal Science,African Journal Online (AJOL),South Africa, South African Journal of Animal Science (SAJAS).,English,Agriculture,0,,1,24,1,37,1,<0.1,1,0.63,1,1,1,0,1,1,
341,South African Journal of Bioethics and Law,African Journal Online (AJOL),South Africa,,English,Social Sciences and Humanities,1,,1,10,1,4,0,,0,,1,1,1,0,1,1,
342,South African Journal of Botany,African Journal Online (AJOL),South Africa,South African Association of Botanists,English,Science and Technology,0,,1,52,1,75,1,0.4,1,1.1,0,0,1,1,0,1,
343,South African Journal of Chemistry,African Journal Online (AJOL),South Africa,South African Chemical Institute (SACI),English,Science and Technology,0,,1,14,1,25,1,<0.1,1,0.44,1,1,1,0,1,1,
344,South African Journal of Child Health,African Journal Online (AJOL),South Africa,South African Medical Association NPC,English,Medicine and Health,1,1,1,12,1,17,0,,1,0.33,1,1,1,0,1,1,
345,South African Journal of Clinical Nutrition,African Journal Online (AJOL),South Africa,Taylor & Francis,English,Medicine and Health,1,1,1,18,1,23,0,,1,0.9,1,0,1,1,0,1,
346,South African Journal of Cultural History,African Journal Online (AJOL),South Africa, South African Society for Cultural History,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
347,South African Journal of Education,African Journal Online (AJOL),South Africa, Education Association of South Africa,English,Social Sciences and Humanities,0,,1,35,1,36,1,<0.1,1,0.96,1,1,1,1,1,1,
348,South African Journal of Geomatics,African Journal Online (AJOL),South Africa,"Geomatics Division, Menzies Building,university of capetown",English,Science and Technology,0,,1,9,0,,0,,0,,1,0,1,0,0,1,
349,South African Journal of Higher Education,African Journal Online (AJOL),South Africa,Higher Education South Africa (HESA),English,Science and Technology,0,,1,26,0,,0,,0,,0,0,1,0,1,1,
350,South African Journal of Obstetrics and Gynaecology,African Journal Online (AJOL),South Africa, South African Medical Association,English,Medicine and Health,1,1,1,9,1,10,0,,0,,1,0,1,0,1,1,
351,South African Journal of Philosophy,African Journal Online (AJOL),South Africa,Taylor & Francis,English,Social Sciences and Humanities,0,,1,10,1,20,0,,1,0.92,0,0,1,1,1,1,
352,South African Journal of Plant and Soil,African Journal Online (AJOL),South Africa,Taylor & Francis,English,Agriculture,0,,1,14,1,23,0,,1,0.56,0,0,1,1,0,1,
353,South African Journal of Psychiatry,African Journal Online (AJOL),South Africa,AOSIS,English,Medicine and Health,1,1,1,18,1,17,1,<0.1,1,0.52,1,1,1,1,1,1,
354,South African Journal of Science,African Journal Online (AJOL),South Africa,Academy of Science of South Africa,English,Science and Technology,1,,1,30,1,67,1,0.2,1,0.66,1,1,1,0,1,1,
355,South African Journal of Sports Medicine,African Journal Online (AJOL),South Africa,South African Sports Medicine Association,English,Medicine and Health,1,1,1,11,0,,0,,1,0.35,1,1,1,0,1,1,
356,South African Journal of Surgery,African Journal Online (AJOL),South Africa,South African Medical Association,English,Medicine and Health,1,1,1,10,1,24,1,<0.1,1,0.22,1,0,1,0,1,1,
357,South African Medical Journal,African Journal Online (AJOL),South Africa, South African Medical Association,English,Medicine and Health,1,1,1,36,1,62,1,0.5,1,0.63,1,1,1,0,1,1,
358,South African Music Studies,African Journal Online (AJOL),South Africa, South African Society for Research in Music (SASRIM),English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
359,Southern African Business Review,African Journal Online (AJOL),South Africa,UNISA Press,English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
360,Southern African Journal of Anaesthesia and Analgesia,African Journal Online (AJOL),South Africa,Medpharm Publications ,English,Medicine and Health,1,1,1,9,1,11,0,,1,0.15,1,0,1,1,0,1,
361,Southern African Journal of Critical Care,African Journal Online (AJOL),South Africa, Health and Medical Publishing Group,English,Medicine and Health,1,1,1,7,1,10,0,,0,,1,1,1,0,1,1,
362,Southern African Journal of Environmental Education,African Journal Online (AJOL),South Africa,Environmental Education Association of Southern Africa (EEASA),English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,0,1,1,
363,Southern African Journal of HIV Medicine,African Journal Online (AJOL),South Africa,AOSIS publishing,English,Medicine and Health,1,1,1,21,1,,1,<0.1,1,0.73,1,1,1,1,1,1,
364,Southern African Linguistics and Applied Language Studies,African Journal Online (AJOL),South Africa,National Inquiry Services Centre (NISC),English,Social Sciences and Humanities,0,,1,11,1,21,1,<0.1,1,0.93,0,0,1,1,0,1,
365,Southern Forests: a Journal of Forest Science,African Journal Online (AJOL),South Africa,NISC (Pty) Ltd,English,Social Sciences and Humanities,0,,1,15,0,,0,,0,,0,0,1,1,0,1,
366,Stellenbosch Papers in Linguistics,African Journal Online (AJOL),South Africa,"Department of General Linguistics, Stellenbosch University",English,Social Sciences and Humanities,0,,0,,0,,0,,1,0.58,1,1,1,0,1,1,
367,Stellenbosch Papers in Linguistics Plus,African Journal Online (AJOL),South Africa,"Department of General Linguistics, Stellenbosch University.",English,Social Sciences and Humanities,0,,1,6,1,3,0,,1,0.58,1,1,1,0,1,1,
368,Town and Regional Planning,African Journal Online (AJOL),South Africa,University of the Free State,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,0,1,1,
369,Tydskrif vir letterkunde,African Journal Online (AJOL),South Africa,"auspices of the Tydskrif vir Letterkunde Association, University of Pretoria",English,Science and Technology,0,,1,6,1,17,0,,1,0.32,1,1,1,0,1,1,
370,Vulture News,African Journal Online (AJOL),South Africa,VULTURE STUDY GROUP,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,0,1,
371,Water SA,African Journal Online (AJOL),South Africa,Water Research Commission (WRC),English,Science and Technology,0,,1,21,1,66,1,0.2,0,,1,1,1,0,1,1,
372,African Journal of Biotechnology,African Journal Online (AJOL),Kenya,Academic Journals,English,Science and Technology,0,,1,17,1,98,0,,0,,1,0,1,0,1,1,
373,African Journal of Food and Nutritional Security,African Journal Online (AJOL),Kenya,Quest and Insight Publishers and Friends-of-the Book Foundation,English,Agriculture,0,,0,,0,,0,,0,,0,0,0,0,1,1,
374,"African Journal of Food, Agriculture, Nutrition and Development",African Journal Online (AJOL),Kenya,Rural Outreach Programme (ROP) in Nairobi,English,Agriculture,0,,1,17,1,15,0,,1,0.31,1,1,1,0,1,1,
375,African Journal of Health Sciences,African Journal Online (AJOL),Kenya,"The African Journal of Health Sciences,KEMRI",English,Medicine and Health,0,1,1,6,1,15,0,,0,,1,0,1,0,1,1,
376,African Journal of Oral Health Sciences,African Journal Online (AJOL),Kenya,"School of dental sciences, University of Nairobi",English,Medicine and Health,1,1,0,,0,,0,,0,,0,0,1,0,1,1,
377,African Journal of Rheumatology,African Journal Online (AJOL),Kenya,African League of Associations for Rheumatology (AFLAR).,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,1,0,1,1,
378,African Journal of Science and Technology,African Journal Online (AJOL),Kenya,African Network of Scientific and Technical Institutions (ANSTI),English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
379,Anatomy Journal of Africa,African Journal Online (AJOL),Kenya,Association of Anatomical Societies of Africa,English,Medicine and Health,0,0,1,6,0,,0,,0,,1,0,1,0,1,1,
380,Annals of African Surgery,African Journal Online (AJOL),Kenya,Surgical Society of Kenya,English,Medicine and Health,0,0,1,7,1,5,0,,1,0.2,1,1,1,0,1,1,
381,Bulletin of Animal Health and Production in Africa,African Journal Online (AJOL),Kenya,"University of Nairobi, school of Biological science",English,Agriculture,0,,1,,0,,0,,0,,0,0,1,0,1,1,
382,Cradle of Kowledge: African Journal of Educational and Social Science Research (The),African Journal Online (AJOL),Kenya,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
383,Discovery and Innovation,African Journal Online (AJOL),Kenya,Academy Science Publishers,English,Social Sciences and Humanities,0,,0,,1,7,0,,0,,0,0,1,0,1,1,
384,East African Agricultural and Forestry Journal,African Journal Online (AJOL),Kenya,Kenya Forestry Research Institute (KARI),English,Agriculture,0,,0,,0,,0,,0,,0,0,1,1,0,1,
385,East African Journal of Statistics,African Journal Online (AJOL),Kenya,East African Nature and Science Organization,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
386,East African Medical Journal,African Journal Online (AJOL),Kenya,Kenya Medical Association,English,Medicine and Health,1,1,1,4,1,43,0,,1,0.03,0,0,1,0,1,1,
387,East African Orthopaedic Journal,African Journal Online (AJOL),Kenya,Kenya Orthopaedic Association,English,Medicine and Health,0,1,0,,0,,0,,0,,1,0,1,0,1,1,
388,East and Central African Journal of Pharmaceutical Sciences,African Journal Online (AJOL),Kenya,,English,Medicine and Health,1,1,0,,0,,0,,0,,1,0,1,0,1,1,
389,"Journal of Agriculture, Science and Technology - JKUAT",African Journal Online (AJOL),Kenya,Jomo Kenyatta University of Agriculture and Technology ,English,Agriculture,0,,0,,0,,0,,0,,0,0,0,0,1,1,
390,Journal of Applied Biosciences,African Journal Online (AJOL),Kenya,Elewa Biosciences Journals ,English,Science and Technology,0,,1,11,0,,0,,0,,1,0,1,0,1,1,
391,Journal of Civil Engineering Research and Practice,African Journal Online (AJOL),Kenya,Jomo Kenyatta University of Agriculture and Technology,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
392,"Journal of Civil Engineering, JKUAT",African Journal Online (AJOL),Kenya,College of Engineering and Technology (CoETEC) of Jomo Kenyatta University of Agriculture & Technology (JKUAT),English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
393,Journal of East African Natural History,African Journal Online (AJOL),Kenya,East Africa Natural History Society and the National Museums of Kenya,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
394,Journal of Food Technology in Africa,African Journal Online (AJOL),Kenya,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
395,"Journal of Language, Technology & Entrepreneurship in Africa",African Journal Online (AJOL),Kenya,United States International University-Africa.,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
396,Journal of Obstetrics and Gynaecology of Eastern and Central Africa,African Journal Online (AJOL),Kenya,,English,Medicine and Health,0,1,0,,0,,0,,0,,0,0,1,0,1,1,
397,Journal of Tropical Microbiology and Biotechnology,African Journal Online (AJOL),Kenya,,English,Medicine and Health,0,0,0,,0,,0,,0,,0,0,1,0,1,1,
398,KCA Journal of Business Management,African Journal Online (AJOL),Kenya,KCA University,English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
399,Kenya Veterinarian,African Journal Online (AJOL),Kenya,Kenya Veterinary Association,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
400,Scopus: Journal of East African Ornithology,African Journal Online (AJOL),Kenya,Bird Committee of the East Africa Natural History Society,English,Medicine and Health,0,0,0,,1,5,0,,0,,1,0,1,0,1,1,
401,Thought and Practice,African Journal Online (AJOL),Kenya,Philosophical Association of Kenya,English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
402,African Journal of Chemical Education,African Journal Online (AJOL),Ethiopia,Federation of African Societies of Chemistry (FASC),English,Science and Technology,0,,1,,0,,0,,0,,1,0,1,0,1,1,
403,African Research Review,African Journal Online (AJOL),Ethiopia, African Studies Association (USA),English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
404,AFRREV IJAH: An International Journal of Arts and Humanities,African Journal Online (AJOL),Ethiopia,Center for Global Research Development (CGRD).,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
405,"AFRREV LALIGENS: An International Journal of Language, Literature and Gender Studies",African Journal Online (AJOL),Ethiopia,INTERNATIONAL ASSOCIATION OF AFRICAN RESEARCHERS AND REVIEWERS,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,0,0,1,1,
406,AFRREV STECH: An International Journal of Science and Technology,African Journal Online (AJOL),Ethiopia,INTERNATIONAL ASSOCIATION OF AFRICAN RESEARCHERS AND REVIEWERS,English,Science and Technology,0,,0,,0,,0,,0,,1,0,0,0,1,1,
407,Bulletin of the Chemical Society of Ethiopia,African Journal Online (AJOL),Ethiopia,The Bulletin of the Chemical Society of Ethiopia (BCSE) ,English,Science and Technology,0,,1,17,1,29,1,<0.1,1,0.49,1,1,1,0,1,1,
408,East African Journal of Biophysical and Computational Sciences,African Journal Online (AJOL),Ethiopia,"Hawassa University, College of Natural & Computational Sciences.",English,Science and Technology,0,,0,,0,,0,,0,,1,1,1,0,1,1,
409,East African Journal of Sciences,African Journal Online (AJOL),Ethiopia,"Haramaya University , Ethiopia",English,Science and Technology,0,,0,,0,,0,,0,,1,1,1,0,1,1,
410,Eastern Africa Social Science Research Review,African Journal Online (AJOL),Ethiopia,Organization for Social Science Research in Eastern Africa (OSSREA).,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
411,Ethiopian Journal of Agricultural Sciences,African Journal Online (AJOL),Ethiopia,International Institute For Primary Health Care ,English,Agriculture,0,,1,13,0,,0,,0,,1,0,1,0,1,1,
412,Ethiopian Journal of Biological Sciences,African Journal Online (AJOL),Ethiopia,"Departments of Microbial, Cellular and Molecular Biology, Plant Biology and Biodiversity Management and Zoological Sciences, Addis Ababa University",English,Science and Technology,0,,0,,0,,0,,0,,0,0,1,0,1,1,
413,Ethiopian Journal of Business and Economics (The),African Journal Online (AJOL),Ethiopia,"College of Business and Economics, Addis Ababa University",English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
414,Ethiopian Journal of Development Research,African Journal Online (AJOL),Ethiopia,Institute of Development Research. ,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,0,0,1,0,1,1,
415,Ethiopian Journal of Economics,African Journal Online (AJOL),Ethiopia,Ethiopian Economic Association,English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
416,Ethiopian Journal of Education,African Journal Online (AJOL),Ethiopia,"College of Education, Hawassa University",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
417,Ethiopian Journal of Education and Sciences,African Journal Online (AJOL),Ethiopia,College of Natural Sciences of Jimma University,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
418,Ethiopian Journal of Environmental Studies and Management,African Journal Online (AJOL),Ethiopia,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
419,Ethiopian Journal of Health Development,African Journal Online (AJOL),Ethiopia,Ethiopian Public Health Association,English,Medicine and Health,1,1,1,14,1,26,1,<0.1,1,0.21,1,0,1,0,1,1,
420,Ethiopian Journal of Health Sciences,African Journal Online (AJOL),Ethiopia,College of Health Science of Jimma University,English,Medicine and Health,1,1,1,32,1,29,0,,0,,1,1,1,0,1,1,
421,Ethiopian Journal of Human Rights,African Journal Online (AJOL),Ethiopia,"Center for Human Rights, Addis Ababa University (CHR, AAU). ",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
422,Ethiopian Journal of Pediatrics and Child Health,African Journal Online (AJOL),Ethiopia,The Ethiopian Pediatric Society.,English,Medicine and Health,0,0,0,,0,,0,,0,,1,0,1,0,1,1,
423,Ethiopian Journal of Science and Sustainable Development,African Journal Online (AJOL),Ethiopia,Adama Science & Technology University (ASTU). ,English,Science and Technology,0,,0,,0,,0,,0,,1,1,1,0,1,1,
424,Ethiopian Journal of Science and Technology,African Journal Online (AJOL),Ethiopia,"College of Science, Bahir Dar University.",English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
425,Ethiopian Journal of the Social Sciences and Humanities,African Journal Online (AJOL),Ethiopia,"College of Social Sciences, Addis Ababa University. ",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
426,Ethiopian Pharmaceutical Journal,African Journal Online (AJOL),Ethiopia,Ethiopian Pharmaceutical Association.,English,Medicine and Health,1,1,0,,1,5,0,,0,,0,0,1,0,1,1,
427,Ethiopian Veterinary Journal,African Journal Online (AJOL),Ethiopia,Ethiopian Veterinary Association,English,Agriculture,0,,0,,0,,0,,0,,1,0,1,0,1,1,
428,Haramaya Law Review,African Journal Online (AJOL),Ethiopia,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
429,Journal of Business and Administrative Studies,African Journal Online (AJOL),Ethiopia,St Mary University College,English,Business and Finance,0,,0,,0,,0,,0,,1,0,1,0,1,1,
430,Journal of Ethiopian Medical Practice,African Journal Online (AJOL),Ethiopia,Ethiopian Society of General Medical Practice,English,Medicine and Health,1,1,0,,0,,0,,0,,0,0,1,0,1,1,
431,Mizan Law Review,African Journal Online (AJOL),Ethiopia,"St. Mary’s University, Addis Ababa, Ethiopia",English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,1,1,0,1,1,
432,Momona Ethiopian Journal of Science,African Journal Online (AJOL),Ethiopia,"College of Natural and Computational Sciences, Mekelle University",English,Science and Technology,0,,0,,0,,0,,0,,1,1,1,0,1,1,
433,Oromia Law Journal,African Journal Online (AJOL),Ethiopia,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
434,"Science, Technology and Arts Research Journal",African Journal Online (AJOL),Ethiopia,,English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
435,SINET: Ethiopian Journal of Science,African Journal Online (AJOL),Ethiopia,"Faculty of Science, Addis Ababa University, Ethiopia",English,Science and Technology,0,,0,,0,,0,,0,,1,0,1,0,1,1,
436,Zede Journal,African Journal Online (AJOL),Ethiopia,,English,Social Sciences and Humanities,0,,0,,0,,0,,0,,1,0,1,0,1,1,
